column_a,code,browser,cldr_short_name
2462,U+1F1ED U+1F1F0,🇭🇰,Hong Kong SAR China
2463,U+1F1ED U+1F1F2,🇭🇲,Heard & McDonald Islands
2464,U+1F1ED U+1F1F3,🇭🇳,Honduras
2465,U+1F1ED U+1F1F7,🇭🇷,Croatia
2466,U+1F1ED U+1F1F9,🇭🇹,Haiti
2467,U+1F1ED U+1F1FA,🇭🇺,Hungary
2468,U+1F1EE U+1F1E8,🇮🇨,Canary Islands
2469,U+1F1EE U+1F1E9,🇮🇩,Indonesia
2470,U+1F1EE U+1F1EA,🇮🇪,Ireland
2471,U+1F1EE U+1F1F1,🇮🇱,Israel
2472,U+1F1EE U+1F1F2,🇮🇲,Isle of Man
2473,U+1F1EE U+1F1F3,🇮🇳,India
2474,U+1F1EE U+1F1F4,🇮🇴,British Indian Ocean Territory
2475,U+1F1EE U+1F1F6,🇮🇶,Iraq
2476,U+1F1EE U+1F1F7,🇮🇷,Iran
2477,U+1F1EE U+1F1F8,🇮🇸,Iceland
2478,U+1F1EE U+1F1F9,🇮🇹,Italy
2479,U+1F1EF U+1F1EA,🇯🇪,Jersey
2480,U+1F1EF U+1F1F2,🇯🇲,Jamaica
2481,U+1F1EF U+1F1F4,🇯🇴,Jordan
2482,U+1F1EF U+1F1F5,🇯🇵,Japan
2483,U+1F1F0 U+1F1EA,🇰🇪,Kenya
2484,U+1F1F0 U+1F1EC,🇰🇬,Kyrgyzstan
2485,U+1F1F0 U+1F1ED,🇰🇭,Cambodia
2486,U+1F1F0 U+1F1EE,🇰🇮,Kiribati
2487,U+1F1F0 U+1F1F2,🇰🇲,Comoros
2488,U+1F1F0 U+1F1F3,🇰🇳,St. Kitts & Nevis
2489,U+1F1F0 U+1F1F5,🇰🇵,North Korea
2490,U+1F1F0 U+1F1F7,🇰🇷,South Korea
2491,U+1F1F0 U+1F1FC,🇰🇼,Kuwait
2492,U+1F1F0 U+1F1FE,🇰🇾,Cayman Islands
2493,U+1F1F0 U+1F1FF,🇰🇿,Kazakhstan
2494,U+1F1F1 U+1F1E6,🇱🇦,Laos
2495,U+1F1F1 U+1F1E7,🇱🇧,Lebanon
2496,U+1F1F1 U+1F1E8,🇱🇨,St. Lucia
2497,U+1F1F1 U+1F1EE,🇱🇮,Liechtenstein
2498,U+1F1F1 U+1F1F0,🇱🇰,Sri Lanka
2499,U+1F1F1 U+1F1F7,🇱🇷,Liberia
2500,U+1F1F1 U+1F1F8,🇱🇸,Lesotho
2501,U+1F1F1 U+1F1F9,🇱🇹,Lithuania
2502,U+1F1F1 U+1F1FA,🇱🇺,Luxembourg
2503,U+1F1F1 U+1F1FB,🇱🇻,Latvia
2504,U+1F1F1 U+1F1FE,🇱🇾,Libya
2505,U+1F1F2 U+1F1E6,🇲🇦,Morocco
2506,U+1F1F2 U+1F1E8,🇲🇨,Monaco
2507,U+1F1F2 U+1F1E9,🇲🇩,Moldova
2508,U+1F1F2 U+1F1EA,🇲🇪,Montenegro
2509,U+1F1F2 U+1F1EB,🇲🇫,St. Martin
2510,U+1F1F2 U+1F1EC,🇲🇬,Madagascar
2511,U+1F1F2 U+1F1ED,🇲🇭,Marshall Islands
2512,U+1F1F2 U+1F1F0,🇲🇰,Macedonia
2513,U+1F1F2 U+1F1F1,🇲🇱,Mali
2514,U+1F1F2 U+1F1F2,🇲🇲,Myanmar (Burma)
2515,U+1F1F2 U+1F1F3,🇲🇳,Mongolia
2516,U+1F1F2 U+1F1F4,🇲🇴,Macau SAR China
2517,U+1F1F2 U+1F1F5,🇲🇵,Northern Mariana Islands
2518,U+1F1F2 U+1F1F6,🇲🇶,Martinique
2519,U+1F1F2 U+1F1F7,🇲🇷,Mauritania
2520,U+1F1F2 U+1F1F8,🇲🇸,Montserrat
2521,U+1F1F2 U+1F1F9,🇲🇹,Malta
2522,U+1F1F2 U+1F1FA,🇲🇺,Mauritius
2523,U+1F1F2 U+1F1FB,🇲🇻,Maldives
2524,U+1F1F2 U+1F1FC,🇲🇼,Malawi
2525,U+1F1F2 U+1F1FD,🇲🇽,Mexico
2526,U+1F1F2 U+1F1FE,🇲🇾,Malaysia
2527,U+1F1F2 U+1F1FF,🇲🇿,Mozambique
2528,U+1F1F3 U+1F1E6,🇳🇦,Namibia
2529,U+1F1F3 U+1F1E8,🇳🇨,New Caledonia
2530,U+1F1F3 U+1F1EA,🇳🇪,Niger
2531,U+1F1F3 U+1F1EB,🇳🇫,Norfolk Island
2532,U+1F1F3 U+1F1EC,🇳🇬,Nigeria
2533,U+1F1F3 U+1F1EE,🇳🇮,Nicaragua
2534,U+1F1F3 U+1F1F1,🇳🇱,Netherlands
2535,U+1F1F3 U+1F1F4,🇳🇴,Norway
2536,U+1F1F3 U+1F1F5,🇳🇵,Nepal
2537,U+1F1F3 U+1F1F7,🇳🇷,Nauru
2538,U+1F1F3 U+1F1FA,🇳🇺,Niue
2539,U+1F1F3 U+1F1FF,🇳🇿,New Zealand
2540,U+1F1F4 U+1F1F2,🇴🇲,Oman
2541,U+1F1F5 U+1F1E6,🇵🇦,Panama
2542,U+1F1F5 U+1F1EA,🇵🇪,Peru
2543,U+1F1F5 U+1F1EB,🇵🇫,French Polynesia
2544,U+1F1F5 U+1F1EC,🇵🇬,Papua New Guinea
2545,U+1F1F5 U+1F1ED,🇵🇭,Philippines
2546,U+1F1F5 U+1F1F0,🇵🇰,Pakistan
2547,U+1F1F5 U+1F1F1,🇵🇱,Poland
2548,U+1F1F5 U+1F1F2,🇵🇲,St. Pierre & Miquelon
2549,U+1F1F5 U+1F1F3,🇵🇳,Pitcairn Islands
2550,U+1F1F5 U+1F1F7,🇵🇷,Puerto Rico
2551,U+1F1F5 U+1F1F8,🇵🇸,Palestinian Territories
