column_a,code,browser,cldr_short_name
703,U+1F646 U+1F3FB U+200D U+2640 U+FE0F,🙆🏻‍♀️,woman gesturing OK: light skin tone
704,U+1F646 U+1F3FC U+200D U+2640 U+FE0F,🙆🏼‍♀️,woman gesturing OK: medium-light skin tone
705,U+1F646 U+1F3FD U+200D U+2640 U+FE0F,🙆🏽‍♀️,woman gesturing OK: medium skin tone
706,U+1F646 U+1F3FE U+200D U+2640 U+FE0F,🙆🏾‍♀️,woman gesturing OK: medium-dark skin tone
707,U+1F646 U+1F3FF U+200D U+2640 U+FE0F,🙆🏿‍♀️,woman gesturing OK: dark skin tone
708,U+1F481,💁,person tipping hand
709,U+1F481 U+1F3FB,💁🏻,person tipping hand: light skin tone
710,U+1F481 U+1F3FC,💁🏼,person tipping hand: medium-light skin tone
711,U+1F481 U+1F3FD,💁🏽,person tipping hand: medium skin tone
712,U+1F481 U+1F3FE,💁🏾,person tipping hand: medium-dark skin tone
713,U+1F481 U+1F3FF,💁🏿,person tipping hand: dark skin tone
714,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,man tipping hand
715,U+1F481 U+1F3FB U+200D U+2642 U+FE0F,💁🏻‍♂️,man tipping hand: light skin tone
716,U+1F481 U+1F3FC U+200D U+2642 U+FE0F,💁🏼‍♂️,man tipping hand: medium-light skin tone
717,U+1F481 U+1F3FD U+200D U+2642 U+FE0F,💁🏽‍♂️,man tipping hand: medium skin tone
718,U+1F481 U+1F3FE U+200D U+2642 U+FE0F,💁🏾‍♂️,man tipping hand: medium-dark skin tone
719,U+1F481 U+1F3FF U+200D U+2642 U+FE0F,💁🏿‍♂️,man tipping hand: dark skin tone
720,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,woman tipping hand
721,U+1F481 U+1F3FB U+200D U+2640 U+FE0F,💁🏻‍♀️,woman tipping hand: light skin tone
722,U+1F481 U+1F3FC U+200D U+2640 U+FE0F,💁🏼‍♀️,woman tipping hand: medium-light skin tone
723,U+1F481 U+1F3FD U+200D U+2640 U+FE0F,💁🏽‍♀️,woman tipping hand: medium skin tone
724,U+1F481 U+1F3FE U+200D U+2640 U+FE0F,💁🏾‍♀️,woman tipping hand: medium-dark skin tone
725,U+1F481 U+1F3FF U+200D U+2640 U+FE0F,💁🏿‍♀️,woman tipping hand: dark skin tone
726,U+1F64B,🙋,person raising hand
727,U+1F64B U+1F3FB,🙋🏻,person raising hand: light skin tone
