column_a,code,browser,cldr_short_name
233,U+1F468 U+1F3FF U+200D U+1F373,👨🏿‍🍳,man cook: dark skin tone
234,U+1F469 U+200D U+1F373,👩‍🍳,woman cook
235,U+1F469 U+1F3FB U+200D U+1F373,👩🏻‍🍳,woman cook: light skin tone
236,U+1F469 U+1F3FC U+200D U+1F373,👩🏼‍🍳,woman cook: medium-light skin tone
237,U+1F469 U+1F3FD U+200D U+1F373,👩🏽‍🍳,woman cook: medium skin tone
238,U+1F469 U+1F3FE U+200D U+1F373,👩🏾‍🍳,woman cook: medium-dark skin tone
239,U+1F469 U+1F3FF U+200D U+1F373,👩🏿‍🍳,woman cook: dark skin tone
240,U+1F468 U+200D U+1F527,👨‍🔧,man mechanic
241,U+1F468 U+1F3FB U+200D U+1F527,👨🏻‍🔧,man mechanic: light skin tone
242,U+1F468 U+1F3FC U+200D U+1F527,👨🏼‍🔧,man mechanic: medium-light skin tone
243,U+1F468 U+1F3FD U+200D U+1F527,👨🏽‍🔧,man mechanic: medium skin tone
244,U+1F468 U+1F3FE U+200D U+1F527,👨🏾‍🔧,man mechanic: medium-dark skin tone
245,U+1F468 U+1F3FF U+200D U+1F527,👨🏿‍🔧,man mechanic: dark skin tone
246,U+1F469 U+200D U+1F527,👩‍🔧,woman mechanic
247,U+1F469 U+1F3FB U+200D U+1F527,👩🏻‍🔧,woman mechanic: light skin tone
248,U+1F469 U+1F3FC U+200D U+1F527,👩🏼‍🔧,woman mechanic: medium-light skin tone
249,U+1F469 U+1F3FD U+200D U+1F527,👩🏽‍🔧,woman mechanic: medium skin tone
250,U+1F469 U+1F3FE U+200D U+1F527,👩🏾‍🔧,woman mechanic: medium-dark skin tone
251,U+1F469 U+1F3FF U+200D U+1F527,👩🏿‍🔧,woman mechanic: dark skin tone
252,U+1F468 U+200D U+1F3ED,👨‍🏭,man factory worker
253,U+1F468 U+1F3FB U+200D U+1F3ED,👨🏻‍🏭,man factory worker: light skin tone
254,U+1F468 U+1F3FC U+200D U+1F3ED,👨🏼‍🏭,man factory worker: medium-light skin tone
255,U+1F468 U+1F3FD U+200D U+1F3ED,👨🏽‍🏭,man factory worker: medium skin tone
256,U+1F468 U+1F3FE U+200D U+1F3ED,👨🏾‍🏭,man factory worker: medium-dark skin tone
257,U+1F468 U+1F3FF U+200D U+1F3ED,👨🏿‍🏭,man factory worker: dark skin tone
258,U+1F469 U+200D U+1F3ED,👩‍🏭,woman factory worker
259,U+1F469 U+1F3FB U+200D U+1F3ED,👩🏻‍🏭,woman factory worker: light skin tone
260,U+1F469 U+1F3FC U+200D U+1F3ED,👩🏼‍🏭,woman factory worker: medium-light skin tone
261,U+1F469 U+1F3FD U+200D U+1F3ED,👩🏽‍🏭,woman factory worker: medium skin tone
262,U+1F469 U+1F3FE U+200D U+1F3ED,👩🏾‍🏭,woman factory worker: medium-dark skin tone
263,U+1F469 U+1F3FF U+200D U+1F3ED,👩🏿‍🏭,woman factory worker: dark skin tone
264,U+1F468 U+200D U+1F4BC,👨‍💼,man office worker
265,U+1F468 U+1F3FB U+200D U+1F4BC,👨🏻‍💼,man office worker: light skin tone
266,U+1F468 U+1F3FC U+200D U+1F4BC,👨🏼‍💼,man office worker: medium-light skin tone
267,U+1F468 U+1F3FD U+200D U+1F4BC,👨🏽‍💼,man office worker: medium skin tone
268,U+1F468 U+1F3FE U+200D U+1F4BC,👨🏾‍💼,man office worker: medium-dark skin tone
269,U+1F468 U+1F3FF U+200D U+1F4BC,👨🏿‍💼,man office worker: dark skin tone
270,U+1F469 U+200D U+1F4BC,👩‍💼,woman office worker
271,U+1F469 U+1F3FB U+200D U+1F4BC,👩🏻‍💼,woman office worker: light skin tone
272,U+1F469 U+1F3FC U+200D U+1F4BC,👩🏼‍💼,woman office worker: medium-light skin tone
273,U+1F469 U+1F3FD U+200D U+1F4BC,👩🏽‍💼,woman office worker: medium skin tone
274,U+1F469 U+1F3FE U+200D U+1F4BC,👩🏾‍💼,woman office worker: medium-dark skin tone
275,U+1F469 U+1F3FF U+200D U+1F4BC,👩🏿‍💼,woman office worker: dark skin tone
276,U+1F468 U+200D U+1F52C,👨‍🔬,man scientist
277,U+1F468 U+1F3FB U+200D U+1F52C,👨🏻‍🔬,man scientist: light skin tone
278,U+1F468 U+1F3FC U+200D U+1F52C,👨🏼‍🔬,man scientist: medium-light skin tone
279,U+1F468 U+1F3FD U+200D U+1F52C,👨🏽‍🔬,man scientist: medium skin tone
280,U+1F468 U+1F3FE U+200D U+1F52C,👨🏾‍🔬,man scientist: medium-dark skin tone
281,U+1F468 U+1F3FF U+200D U+1F52C,👨🏿‍🔬,man scientist: dark skin tone
282,U+1F469 U+200D U+1F52C,👩‍🔬,woman scientist
283,U+1F469 U+1F3FB U+200D U+1F52C,👩🏻‍🔬,woman scientist: light skin tone
284,U+1F469 U+1F3FC U+200D U+1F52C,👩🏼‍🔬,woman scientist: medium-light skin tone
285,U+1F469 U+1F3FD U+200D U+1F52C,👩🏽‍🔬,woman scientist: medium skin tone
