column_a,code,browser,cldr_short_name
1029,U+1F3CA U+1F3FB,🏊🏻,person swimming: light skin tone
1030,U+1F3CA U+1F3FC,🏊🏼,person swimming: medium-light skin tone
1031,U+1F3CA U+1F3FD,🏊🏽,person swimming: medium skin tone
1032,U+1F3CA U+1F3FE,🏊🏾,person swimming: medium-dark skin tone
1033,U+1F3CA U+1F3FF,🏊🏿,person swimming: dark skin tone
1034,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming
1035,U+1F3CA U+1F3FB U+200D U+2642 U+FE0F,🏊🏻‍♂️,man swimming: light skin tone
1036,U+1F3CA U+1F3FC U+200D U+2642 U+FE0F,🏊🏼‍♂️,man swimming: medium-light skin tone
1037,U+1F3CA U+1F3FD U+200D U+2642 U+FE0F,🏊🏽‍♂️,man swimming: medium skin tone
1038,U+1F3CA U+1F3FE U+200D U+2642 U+FE0F,🏊🏾‍♂️,man swimming: medium-dark skin tone
1039,U+1F3CA U+1F3FF U+200D U+2642 U+FE0F,🏊🏿‍♂️,man swimming: dark skin tone
1040,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming
1041,U+1F3CA U+1F3FB U+200D U+2640 U+FE0F,🏊🏻‍♀️,woman swimming: light skin tone
1042,U+1F3CA U+1F3FC U+200D U+2640 U+FE0F,🏊🏼‍♀️,woman swimming: medium-light skin tone
1043,U+1F3CA U+1F3FD U+200D U+2640 U+FE0F,🏊🏽‍♀️,woman swimming: medium skin tone
1044,U+1F3CA U+1F3FE U+200D U+2640 U+FE0F,🏊🏾‍♀️,woman swimming: medium-dark skin tone
1045,U+1F3CA U+1F3FF U+200D U+2640 U+FE0F,🏊🏿‍♀️,woman swimming: dark skin tone
1046,U+26F9,⛹,person bouncing ball
1047,U+26F9 U+1F3FB,⛹🏻,person bouncing ball: light skin tone
1048,U+26F9 U+1F3FC,⛹🏼,person bouncing ball: medium-light skin tone
1049,U+26F9 U+1F3FD,⛹🏽,person bouncing ball: medium skin tone
1050,U+26F9 U+1F3FE,⛹🏾,person bouncing ball: medium-dark skin tone
1051,U+26F9 U+1F3FF,⛹🏿,person bouncing ball: dark skin tone
1052,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball
1053,U+26F9 U+1F3FB U+200D U+2642 U+FE0F,⛹🏻‍♂️,man bouncing ball: light skin tone
1054,U+26F9 U+1F3FC U+200D U+2642 U+FE0F,⛹🏼‍♂️,man bouncing ball: medium-light skin tone
1055,U+26F9 U+1F3FD U+200D U+2642 U+FE0F,⛹🏽‍♂️,man bouncing ball: medium skin tone
1056,U+26F9 U+1F3FE U+200D U+2642 U+FE0F,⛹🏾‍♂️,man bouncing ball: medium-dark skin tone
1057,U+26F9 U+1F3FF U+200D U+2642 U+FE0F,⛹🏿‍♂️,man bouncing ball: dark skin tone
1058,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball
1059,U+26F9 U+1F3FB U+200D U+2640 U+FE0F,⛹🏻‍♀️,woman bouncing ball: light skin tone
1060,U+26F9 U+1F3FC U+200D U+2640 U+FE0F,⛹🏼‍♀️,woman bouncing ball: medium-light skin tone
1061,U+26F9 U+1F3FD U+200D U+2640 U+FE0F,⛹🏽‍♀️,woman bouncing ball: medium skin tone
1062,U+26F9 U+1F3FE U+200D U+2640 U+FE0F,⛹🏾‍♀️,woman bouncing ball: medium-dark skin tone
1063,U+26F9 U+1F3FF U+200D U+2640 U+FE0F,⛹🏿‍♀️,woman bouncing ball: dark skin tone
1064,U+1F3CB,🏋,person lifting weights
